baapiiw'aan	brush dust or
dniza	be cooking in
dnizaan	cook sth in
dnizekwe	do cooking in
dnizgan	baking pan
dnizi	board somewhere live
dnizwaa	cook sth an
dnow	kind sort
dnwewdam	cry out from
dnwewe	sound from a
dnwewe	sound from a
dnwewechge	play music at
doodaan	do something reprehensible
doodam	do something reprehensible
doodem-mtik	totem pole
doodgoneyaap	shoelace
doodmawaa	do something to
doodoonaa	nurse smb
{n}doodoosh	nipple womans breast
{n}doodoosh	nipple womans breast
doodooshaaboo	milk
doodooshens	mans nipple Wk
doodooshmebzowin	bra
doodooshmekaajgan	bra
doodwaa	do something reprehensible
doopon	eat from something
doopwin	table
doopwiniigin	tablecloth
dooskaabi	have ones eyes
dooskaabshin	lie with ones
{n}dooskweyaap	my bloodvein my
dootoogan	be soft and
dooyaabiignigan	violin
dpaabi	look through an
dpaabmaa	pop in on
dpaakgaa	leak typically of
dpaakse	fall through in
dpaanzhe	shine through of
dpaasge	shine through of
dpaazhgaa	pour through an
dpagnaamaa	punch sth an
dpagnaandaan	punch sth through
dpakii	sprout of plants
dpakii	sprout  of
dpamo	go through of
dpashkaa	be wet of
dpibde	fly through an
dpibgo	have ones bowels
dpibza	fly through an
dpigaa	seep through
dpiingwetwaa	pop in on
dpijwan	flow through an
dpikweni	stick ones head
dpinaa	pass sth an
dpinaan	pass sth through
dpinnaa	kill smb in
dpishkaan	break through sth
dpizwin	apron
dpoode	crawl through an
dpwewe	be heard through
dpwewe	be heard through
dpweweshin	sound through an
dpwewesin	sound through an
dshin	be a certain
dshing	a certain number
dshiwak	be a certain
dsigniwaagmi	be stained of
dso-	each every
dso-bboon	a certain number
dsobboon'gat	be a certain
dsobboon'gizi	be a certain
dso-dba'ganet	be a certain
dso-dbik	a certain number
dsogiisagzi	be a certain
dsognagat	be a certain
dsognagzi	be a certain
dsogon	a certain number
dsoode	be pinned down
dsoodoon	pin sth down
dsoonaa	pin sth an
dsoonaagan	animal trap
dsooza	be pinned down
dwaa'baan	water hole in
dwaa'ge	make hole in
dwaabde	have teeth missing
dwaashin	fall through the
dwin'ge	clear things off
dwishkmaage	make room for
dwishkmawaa	make room for
dwisin	be adequate room
dzhi-	at a certain
dzhigaabwi	stand in a
dzhigneshin	have ones remains
dzhiikaan	work at sth
dzhiike	frequent a certain
dzhiikwaa	work at sth
dzhikaa	take a certain
dzhimaa	discuss smb gossip
dzhinaashkawaa	chase smb from
dzhindaan	discuss sth talk
dzhinge	gossip talk about
dzhingeshki	be a habitual
dzhishin	lie buried in
dzhitaa	take a certain
dzhitaamgat	take a certain
dzhwegda'aan	roll sth out
dzhweggoodoon	hang sth spread
dzhweggoonaa	hang sth an
dzhwegnaa	spread sth an
dzhwegnaan	spread sth out
dzhwegnige	spread things out
dzhwegshimaa	spread sth an
dzhwegsidoon	spread sth out
dzhweyaadgaa	flow out all
e-baazgobjigemgakin	springtooth harrows
ebgoogmik	ant hill
ebgoonh	ant
ebgoons	ant
ebngishmak	west in the
edwidetek	on both sides
egaach	gently slowly
egaach	Take it easy
e-ggiibaadzit	clown
egwaawgoonh	foundling washed up
ehenh	yes
e-kandoot	fielder baseman shortstop
ekdiiyebi	have ones rear
ekgaade	have ones legs
ekizhep	morning
eknike	have ones arms
ekninjii	have ones hands
eknoomaagenh	teacher instructor
eknoomaaget	coach
ekshkiinzhgwe	have ones eyes
ektaan	be tired of
ektam	be tired of
ektawaa	be tired of
ekwaa-	finish
ekwaabmaa	be tired of
ekwaabndaan	be tired of
ekwaabndang	fielder baseman shortstop
ekwaakwaak	edge of the
ekwaanaama	breathe ones last
ekwaangzhe	be tired of
ekwaawgan	have ones back
ekwendaan	be tired of
ekwendam	be tired of
ekwenmaa	be tired of
ekwinjiishin	leave ones handprint
ekwishin	have an imprint
ekwisin	have an imprint
ekzi	be tired
ekzide	have ones feet
emkooyaanenh	a species of
emkwaan	spoon
emkwaanens	teaspoon
emkwaansaak	white ash a
empaaya	umpire
en'gok	with all ones
en'googmik	ant hill
en'goonh	ant
en'goons	ant
en'kamgaak	geography
en'kwebjiget	catcher  2
endgit	have a certain
endgo	isnt it so
endgwenh	I wonder whether
endso-	each every each
endzhi-miigaading	war
endzhi-mzinaatesjigeng	movie theatre
engaach	slowly
engaach	Slow down Take
enh	yes
Enma'aat	Christian
entek	house contents household
enwek	is it ever
epagdang	pitcher
epagjiget	pitcher
epiichi-	while
esbaanh	raccoon
esban	raccoon
esbikenh	spider
eshkam	increasingly more and
eshkan	chisel
eshkdamoonh	watermelon
eshkmegwenh	osprey a type
eshknaak	ice cutter
eshkot	at first initially
eshkwaach	for nothing CL
eshkweyiing	last in line
eshoonh	cabbage
esiinh	clam oyster
eskgamdenh	tonic
eta	just only
ewepdang	batter hitter
ewepjiget	batter hitter
ewshoogaabwi	stand at the
ewshooshimaa	put sth an
ewshoosidoon	put sth at
eyaabshkaabkak	silver
eyebik	daddy longlegs
eyedwikna	on both sides
eyedwiy'iing	on both sides
eyiidwaabdeyaanh	double axe
eyiidweyiing	on both sides
eyoonh	Oh
eyoot	weapon
ezaawaabgoniik	mustard weed
ezaawaanh	muskmelon cantaloupe
ezaawmin'gaanh	orange fruit
ezgaa	wood tick
e-zhaangsek	jello
ezhaazhaanh	dumpling
ezhi-gchi-nikaayin	at your right
ezhi-nmanjnikaayin	at your left
ga-	will shall 
gaa	no not
gaa	pickerel
gaa-bi-bmisek	last week
gaa-waabang	the next day
gaabgebak	princes pine evergreen
gaachaabewzi	be petite be
gaachaabiigat	be thin of
gaachaabiiggaade	have thin legs
gaachaabiiggwewe	have a thin
gaachaabiignike	have thin arms
gaachaabiigzi	be thin of
gaachaakot	be thin of
gaachaakwat	be thin of
gaachaakzi	be thin of
gaachbiigaade	be small of
gaachdebiiyaa	be narrow of
gaachdengwe	have a small
gaachdeyaa	be narrow
gaachdeyaagmaa	be straits
gaachdezi	be narrow
gaachiigat	be small of
gaachiigzi	be small of
gaachiinyi	be little be
gaachin	be little be
gaachjaane	have a small
gaachmin'gaa	be small of
gaachmin'gizi	be small of
gaachndibe	have a small
gaachninjii	have small hands
gaachnoonyi	be tiny
gaachshkizi	have a tiny
gaachdamii	hook up with
gaachzide	have small feet
gaadaajmotwaa	give smb an
gaadaan	plant sth
gaadi-	spotted
gaadi-gnebik	immature northern water
gaadoon	hide sth
gaagaagwansh	black spruce
gaagaakshiinh	common raven crow
gaagaashkjii'aan	scrape sth with
gaagaashkjiiwaa	scrape sth an
gaagge-	forever for all
gaagge-shkodeng	Hell
gaagiibaajenh	joker prankster
gaagiidaabde	have a toothache
gaagiidaawgan	have a backache
gaagiidaawgane	have a backache
gaagiidzi	ache be sore
gaagiidzide	have a sore
gaagiijbikon	have a backache
gaagiijdinmaangan	have sore shoulders
gaagiijdinmaangne	have sore shoulders
gaagiijgaade	have a sore
gaagiijganzhii	have a sore
gaagiijgondaagan	have a sore
gaagiijgwewe	have a sore
gaagiijiiwgizi	have sore muscles
gaagiijmasde	have a sore
gaagiijnagskwe	have a sore
gaagiijndibe	have a sore
gaagiijnike	have sore arms
gaagiijninjii	have sore hands
gaagiijzide	have a sore
gaagiimoodzi	be a sneak
gaagiin'koyaa	be pointed at
gaagiinaadngoshi	have nightmares
gaagiiwewak	go each to
gaagiizmaa	calm smb soothe
gaagnik	forever very often
gaak	porcupine
gaakaakde	be cooked to
gaakaandkwese	have ones head
gaakaanjbagza	jerk ones body
gaakaapshiinh	barn owl
gaakaashkjii'aan	scrape sth with
gaakaashkjiiwaa	scrape sth an
gaakaasknejiinh	catbird
gaakbidoon	tear sth
gaakbinaa	tear sth an
gaakdiiyaandaan	rip the seat
gaakdiiyeshkaa	be torn in
gaakshkaa	be ripped be
gaakshkaa	be ripped be
gaakshkaan	rip sth with
gaamaajwan	on the other
gaamdaaki	on the hill
gaaming	across a body
gaamkana	across the road
gaamyi'iing	across the way
gaand'aan	push sth with
gaand'igwaaswin	thimble
gaandkwenaa	push smbs head
gaandkwes'aa	shove smbs head
gaandkwewebnaa	push smbs head
gaandnaa	push sth an
gaandnaama	push with ones
gaandnaan	push sth
gaandnigan	puchcart wheelbarrow
gaandnigan	pushcart wheelbarrow
gaandsa'aa	shove smb
gaandsatoon	shove sth
gaandwaa	prod sth an
gaandzakmii	take off running
gaanj'aa	do something that
gaanjbidoon	push sth with
gaanjbiisaa	rain harder
gaanjbinaa	push sth an
gaanjgaadenaa	push smbs leg
gaanjgaadeshkwaa	push smbs leg
gaanjgidemaa	get smb riled
gaanjgwewese	have ones neck
gaanjiingweni	make a face
gaanjiingwetwaa	make faces at
gaanjmin'gage	play billiards play
gaanjweb'aan	push sth with
gaanjwebnaa	push smb
gaanjwebnaan	push sth
gaanjwebnige	push things with
gaanjwebshkaan	push sth with
gaanjwebshkawaa	push sth an
gaanjwebshkige	push things with
gaanjwebwaa	push sth an
gaanjzideyaashi	dash off
gaanzkaan	push against sth
gaanzkawaa	push against sth
gaapaakde	be cooked to
gaapaakza	be cooked to
gaapan	be brittle be
gaapjiishin	shatter from striking
gaapjiisin	shatter from striking
gaapjiiwaa	smash sth an
gaapjii'aan	smash sth with
gaapjiizaan	cook sth to
gaapjiizwaa	cook sth an
gaapshin	shatter from striking
gaapsin	shatter from striking
gaapzi	be brittle be
gaashiinyi	be little be
gaashk'aan	scrape the surface
gaashkaad'aan	scrape something off
gaashkaad'igan	scraper
gaashkaad'ige	scrape things off
gaashkaadwaa	scrape something off
gaashkbaadaan	shave sth
gaashkbaajgaans	razor shaver
gaashkbaajgan	road grader
gaashkbaajgan	razor shaver Wk
gaashkbaanaa	shave smb
gaashkbaaza	shave ones face
gaashkbidoon	scratch on sth
gaashkbijge	scratch on something
gaashkbinaa	scratch on sth
gaashkboodoon	carve sth out
gaashkboonaa	carve sth an
gaashkganaamaa	pound a dent
gaashkganaandaan	pound a dent
gaashkgwaadaan	rake sth rake
gaashkgwaajgan	scraper rake
gaashkgwaanaa	rake sth an
gaashkjiibdoon	gouge sth with
gaashkjiibnaa	gouge sth an
gaashkjiinaa	scoop sth an
gaashkjiinaan	scoop sth up
gaashknaa	scrape sth an
gaashknaan	scrape sth in
gaashkodaan	gouge sth in
gaashkonaa	gouge sth an
gaashkse	split apart
gaashkshimaa	dent sth an
gaashkshkaan	dent sth with
gaashkshkawaa	dent sth an
gaashkshkoodoon	get sth scratched
gaashkshkoonaa	get sth an
gaashksidoon	dent sth from
gaashkwaa	scrape the surface
gaashkzhaan	scrape sth in
gaashkzhwaa	scrape sth an
gaasiibiiwaa	erase sth an
gaasiibii'aan	erase sth
gaasiingwewo	wipe ones face
gaasiiyaakzawning	purgatory
gaaskaapi	laugh under ones
gaaskiignaan	rustle sth of
gaasknaabaagwe	be thirsty
gaasknaabaagweshkaage	make people thirsty
gaasknaabaagweshkaagemgat	make people thirsty
gaasknaabaagweshkaagon	be made thirsty
gaasknaza	whisper
gaaskwewe	make the sound
gaaskwewetoo	make a scratchy
gaaskzidebooza	shuffle ones feet
gaataagaabwitaan	stand in a
gaataayiing	around all around
gaawaadaan	crave sth long
gaawaakmish	common pricklyash
gaawaanaa	crave sth an
gaawaandak	white spruce branch
gaawaandga-bgiw	spruce gum
gaawaandgwaatik	white spruce
gaawaanh	barely hardly scarcely
gaaway	quill of a
gaawe	be jealous due
gaawendmowin	jealousy
gaawenjgeshki	be a jealous
gaaweshki	be a jealous
gaawiin	no
gaawmaa	be jealous of
gaawn-gegoon	nothing
gaawnzigoonh	redbreasted merganser
gaawnzigoons	hooded merganser
gaawnzik	merganser
gaawtaagmik	all around the
gaawye	quill of a
gaawyekaajgan	quillbox
gaawyike	do quillwork
gaay	not
gaazhak	cat
gaazhgens	cat kitten
gaazo	hide
gaazootwaa	hide from smb
gadendaan	be ashamed of
gadendam	be ashamed
gadenmaa	be ashamed of
gaj'aa	embarrass smb
gaji	be embarrassed
gaji-yaa	act shy
gajiikaaza	pretend to be
gajiiwaadzi	be naturally shy
gajshki	be shy
gamii	lake
gamiing	by the lake
gamiing	lakeshore
gapgamzaan	thicken sth in
gapgamzwaa	thicken sth an
gashki	raw uncooked
gashkmansii	belted kingfisher
gawaa	icefish
gawaak	walleye sauger a
gawaan'gamik	icefishing hut
gawaate	be shady
gawaatebiishin	reflect on the
gawaatebiisin	reflect on the
gawaateshin	be in the
gawaatesin	be in the
gawaatewin	umbrella
gazmaa	embarrass smb by
gba'aan	cover sth put
gba'gan	cover lid
gbaa	disembark get out
gbaabiignaan	close sth off
gbaabiignige	close the drapes
gbaabka'aan	close the damper
gbaabka'gan	damper
gbaabka'ge	close the damper
gbaabwe	be plugged get
gbaaknaa	close sth an
gbaaknaan	close sth
gbaakogan	dam obstruction
gbaakoon'gishin	bar the way
gbaakoon'gishmaa	park sth an
gbaaksatoon	slam sth shut
gbaakse	slam closed slam
gbaakse	slam closed slam
gbaakshimaa	lay sth an
gbaakshin	lie barring the
gbaakshkaa	close without apparent
gbaakshkaa	close without apparent
gbaakshkawaa	bar smbs way
gbaaksidoon	lay sth down
gbaaksin	lie barring the
gbaakw'aan	close sth shut
gbaakw'igaaza	be locked up
gbaakw'igan	dam comm 
gbaakw'ige	close up something
gbaakwaa	lock smb up
gbaakwigaade	see gbaakwigaade
gbaakwigaaza	see gbaakwigaaza
gbaakwige	see gbaakwige
gbadin	freeze over bodies
gban'ka'ge	stop up a
gbaskzigan	coagulant
gbawaa	cover sth an
gbawaanzhe'aan	damp sth of
gbawaanzhe'gan	damper on a
gbawaanzhewaa	block sth an
gbe-	all whole length
gbe-bboon	all winter
gbe-dbik	all night
gbe-giizhik	all day
gbe-naagosh	all evening
gbe-niibin	all summer
gbe-shkwaa-naawkwe	all afternoon
gbe-yaa	stay for the
gbe-zhebaa	all the past
gbebza	drive for the
gbeshi	sleep overnight spend
gbeshiiwgamik	hotel inn lodge
gbey'ii	for a long
gbey'iing	for a long
gbidoonenaa	cover smbs mouth
gbigaabwi	stand in the
gbiingwenaa	cover smbs eyes
gbiingwepnaa	blindfold smb
gbiingwepza	be blindfolded
gbiingwewegin	face towel
gbijaane	have a stuffy
gbijaanenaa	cover smbs nose
gbijaanendiza	cover ones nose
gbikaadaan	overtake sth pass
gbikaanaa	overtake smb pass
gbikaazhwe	overtake people pass
gbikdaan	overtake sth pass
gbiknaa	overtake smb pass
gbikzhiwe	overtake people pass
gbinewebnaa	choke smb strangle
gbinewenaa	choke smb strangle
gbinewes'aa	strangle smb
gbineweshkwaa	choke smb with
gbisgazhe	be constipated
gbisgishkaak	be constipated by
gbishkaa	be constricted be
gbishkaa	be constricted be
gbishkwaa	be in smbs
gbiskwe	be hoarse get
gbitoogenaa	cover smbs ears
gbitoogendiza	cover ones ears
gbode	be stifling
gbodenh	blood sausage
gbojiide	be roasted roast
gbojiishkwe	be blocked up
gbojiiza	be roasted roast
gbojiizaan	bake sth roast
gbojiizwaa	bake sth an
gbokbaa	be closed in
gbonaabaagwe	drown
gbonaama	suffocate
gbonesin	permeate a room
gbonnaa	fight smb in
gbonooza	be overwhelmed by
gboobjigan	bag with a
gboobjige	top up something
gboojgan	curtain
gbookat	be damp of
gbooki-giizhgat	be a damp
gbooki-zhiwebat	be damp of
gbookiigat	be damp of
gbookiigzi	be damp of
gbookkamgaa	be damp of
gbookshin	be damp go
gbooksin	be damp go
gbookzi	be damp
gboosnenh	trousers
gboyaa	feel cooped up
gbwaakweyaa	be closed in
gbwaapsa	be smoked in
gbwaabte	be filled with
gchi'aa	celebrity important person
gchi'ii	important thing significant
gchi-	big great major
gchi-	much lots extremely
gchi-aawdaas-daabaan	truck transport in
Gchi-bboon-giizis	BigWinter Moon December
gchi-dende	bullfrog
gchi-gaaming	overseas
gchi-gaanwapii	my the hour
gchi-gaawnzik	common merganser
gchi-gegoo	something big something
gchi-ggizhep	early in the
gchi-gmi	sea ocean
Gchi-gmiing	Lake Superior
Gchi-gwaamwining	Tobermory Ont
gchi-mekdekonye	pope
gchi-miigaadim	be at war
gchi-miin	highbush blueberry
Gchi-mookmaan	American esp an
Gchi-mookmaan'kiing	United States of
Gchi-mookmaanmo	speak English
gchi-mshiikenh	tortoise
gchi-nam'e-giizhgat	be Easter Sunday
gchi-nese	breathe hard pant
gchi-ngoji	way out of
gchi-niibiish	cabbage
gchi-nshinaabe	elder
gchi-piitendaagot	be of great
gchi-piitendaagzi	be of great
gchi-piitendaan	prize sth
gchi-piitenmaa	regard smb highly
Gchi-siniing	Chesaning Mich
gchi-ginii	tomato
Gchi-wiikwedong	Owen Sound Ont
gchi-yaakaaza	act like somebody
gchi-zhaazhi	long ago a
gchi-zhi-yaa	be conceited be
gchi-zhi-yaakaaza	act like one
gchigmiikaanwansh	juniper
gchiitam	end up staying
gchi-nendaan	cherish sth value
gchinendam	be glad be
gchi-nendiza	be conceited be
gchi-nendmoshki	be stuckup
gchi-nenmaa	cherish smb be
gchingim	after a short
gchitwaa-	holy revered venerable
gchitwaa-	special classy gourmet
gchitwaa-giizhgat	be a holy
gchitwaa-kwe	classy woman lady
gchitwaawendaagot	be blessed be
gchitwaawendaagzi	be blessed be
gchitwaawoonaa	give smb a
gchitwaawzi	be rich be
gchi-zhinaagot	look unusual look
gchi-zhinaagzi	look unusual look
gdaabka'gan	key
gdaagmandaan	try sth to
gdaakiiye	go up the
gdaakiiyebtoo	run up the
gdaakiiyebza	drive up the
gdaakiiyedaabaan'go	ride up the
gdaakiiyegaadewse	walk up the
gdaakiiyeyaabiichge	drive a team
gdaaknige	try the door
gdaan	eat sth all
gdaanjge	eat all of
gdaazhgaa	pour out
gdag'aa	abuse smb be
gdagaakoons	fawn deer
gdagaakzi	be spotted have
gdagaasgiingwe	be frecklefaced have
gdagendam	feel sorrowful feel
gdagi-	freckled mottled spotted
gdagiigaanh	rag
gdagiigin	cloth piece of
gdagjiibnaa	tickle smb viciously
gdagjiishkaan	trap and crush
gdagjiishkwaa	trap and crush
gdagmaa	abuse smb verbally
gdagmin'gaa	be freckled have
gdagmin'gizi	be freckled have
gdagnakii	slave work like
gdagtoo	suffer physically have
gdagtooyendam	suffer mental anguish
gdagzi	be mottled be
gdagzi	have a hard
gdagzideshin	stub ones toe
gdajmaa	test smb in
gdamaa	try sth an
gdamwaa	eat sth an
gdandaan	try sth to
gdanemaa	expel sth an
gdanendaan	expel sth from
gdansen	have something fall
gdawaakwaadaan	shoot at sth
gdawaakwaanaa	shoot at smb
gdibnigaazo	have a nightmare
gdibnigo	have a nightmare
gdigjii'aan	tip sth over
gdigjiibdoon	tip sth over
gdigjiibnaa	tip sth an
gdigjiinaa	tip sth an
gdigjiinaan	tip sth over
gdigjiishkaan	tip sth over
gdigjiishkwaa	tip sth an
gdigjiiwaa	tip sth an
gdigjiiweb'aan	tip sth over
gdigjiiwebnaa	tip sth an
gdigjiiwebnaan	tip sth over
gdigjiiwebshkaan	tip sth over
gdigjiiwebshkawaa	tip sth an
gdigjiiweb'aa	tip sth an
gdigmin'gibdoon	roll sth with
gdigmin'gibnaa	roll sth an
gdigmin'gise	roll of small
gdigmin'gise	roll of small
gdigse	roll over accidentally
gdigse	tip over roll
gdigshkaa	tip roll of
gdigshkaa	tip roll of
gdigshkaan	tip sth over
gdigshkawaa	tip sth an
gdigwaashi	be blown over
gdigwaasin	be blown over
gdigwebnaa	tip sth an
gdigwebnaan	tip sth over
gdikweshin	hang ones head
gdimaagat	be poor of
gdimaagendam	feel hopeless
gdimaagge	live in a
gdimaagjiin'ge	have a poor
gdimaagnaagzi	look pitiful
gdimaagpiza	dress in rags
gdimaagtaagzi	sound pitiful
gdimaagzi	be poor be
gdimaagziikaaza	pretend to be
gdinaa	try lifting sth
gdinaan	try lifting sth
gdisk'iwe	get loose
gdiskaabiignaa	unplug sth an
gdiskaabiignaan	unplug sth
gdiskbidoon	pull sth off
gdiskbinaa	pull sth an
gdiskii	escape from anothers
gdisknakse	detach separate of
gdiskndinmaagneshin	get a separated
gdiskninjiibnaa	pull something from
gdiskse	get detached come
gdiskse	get detached come
gdoode	crawl out from
gdoombiigis	Shut up
gdotaagan	bell
gdotaagnigmik	belfry
ge	and also as
ge-ni-bmisek	next week
gebgaadenh	hamper  2
gebkadiinh	comforter bedding
Gechtwaawendaagok	Host the bread
gechtwaawziin-kwe	millionairess rich woman
gechtwaawziinh	millionaire rich man
gechwaa	like just like
gechwibde	attain smooth running
gechwibza	attain smooth running
gegaa	almost
geget	really for sure
geget	of course thats
gegeti	really for sure
gegeti	Of course Its
gegii	you you sg
gegiin	we including you
gegiinwi	we including you
gegiinwin	we including you
gego	also as well
gegoo	any anything something
gegooko iidig 	big deal as
gegoon	any anything something
gegpii	finally  2
gekaanh	old person elderly
gekekoons	pigeon hawk
gekendaasoonh	smart person
Genada	Canada
genii	I I too
geniin	us exc us
geniinwi	us exc us
geniinwin	us exc us
gepgaanh	heavy quilt thick
geshkgwaaswaanh	sewing machine
geshtine	now while theres
